100 65
1	602
3	1509
6	527
9	1013
15	975
20	297
26	401
35	1322
40	1172
46	327
48	1768
57	969
60	577
64	799
70	1814
76	1944
81	1936
89	697
91	649
95	153
104	1511
107	1751
109	444
119	20
129	751
138	1367
140	1019
148	710
151	850
159	113
170	952
178	757
179	890
184	650
191	1852
200	1765
207	330
214	1889
222	71
232	1654
234	1154
244	744
252	405
255	855
260	1653
264	809
267	793
273	557
279	493
288	1544
296	694
298	320
300	1510
302	1881
310	1644
313	306
323	210
329	804
336	1807
343	1557
353	1150
358	752
369	59
371	775
373	1880
379	372
382	1690
391	1341
402	674
406	1292
415	47
421	1751
423	1945
432	886
433	1359
435	300
445	41
446	799
456	932
462	962
471	722
473	320
480	768
491	64
495	303
499	644
508	1488
510	305
512	1932
514	108
525	1335
535	1151
543	70
554	9
563	1535
567	241
570	775
579	1136
585	187
591	64
